1118,20%,20-99,上海锐陟企业管理咨询有限公司,3-5,05-27,Python开发工程师,北京,15001-20000,本科,外商独资
1119,20%,100-499,福建中金在线信息科技有限公司北京分公司,3-5,05-27,SEO搜索引擎优化,北京,15001-20000,本科,上市公司
1120,20%,20-99,上海有云信息技术有限公司,3-5,05-27,云安全高级开发工程师,上海,20001-30000,本科,民营
1121,20%,500-999,广西中卓信息技术有限公司成都分公司,3-5,05-27,数据开发实习生,成都,4001-6000,本科,合资
1122,20%,20-99,上海睿璞企业管理咨询有限公司,1-3,05-27,算法专家-文本方向,上海,20001-30000,本科,民营
1123,20%,100-499,北京数智源科技股份有限公司,1-3,05-27,产品／测试／Python／C#实习岗位,北京,4001-6000,不限,股份制企业
1124,20%,10000,西安中软卓越信息技术有限公司昆明办事处,1-3,05-27,数据挖掘实习生,昆明,4001-6000,不限,上市公司
1125,20%,20-99,雅丹鹰目(北京)信息技术有限公司,1-3,05-27,企业合伙人,北京,5000-8000,不限,国企
1126,20%,20-99,雅丹鹰目(北京)信息技术有限公司,1-3,05-27,营销策划,北京,8001-10000,不限,国企
1127,50%,100-499,武汉创优智才科技有限公司,,05-27,4K网页脚本抓取实习工程师+双休+食宿,武汉,4001-6000,不限,民营
1128,50%,100-499,山东乐舱网国际物流股份有限公司,1-3,05-27,软件工程师,青岛,6001-8000,大专,外商独资
1129,20%,100-499,北京优才创智科技有限公司成都分公司,1-3,05-27,网页抓起工程师助理,成都,3000-6000,不限,民营
1130,20%,100-499,北京优才创智科技有限公司成都分公司,1-3,05-27,网页抓取脚本工程师,成都,4000-6000,大专,民营
1131,20%,100-499,深圳市配得好家居网络科技有限公司,1-3,05-27,软件开发工程师（高薪急聘）,深圳,10000-14999,本科,民营
1132,50%,1000-9999,上海彰荣房地产投资顾问有限公司,3-5,05-27,数据中高级开发工程师,上海,10001-15000,大专,民营
1133,20%,20-99,深圳前海信美分期科技有限公司,3-5,05-27,python开发工程师,深圳,10001-15000,不限,民营
1134,20%,1000-9999,中国信息通信研究院,3-5,05-27,高级JAVA开发工程师,北京,15000-25000,本科,事业单位
1135,20%,1000-9999,广州卓越教育培训中心,1-3,05-27,web前端开发工程师,广州,8000-15000,大专,其它
1136,20%,20-99,广州卡宝宝互联网金融信息服务股份有限公司,1-3,05-27,算法工程师,广州,10000-20000,本科,上市公司
1137,20%,100-499,北京海天瑞声科技有限公司,1-3,05-27,perl/python/c#实习生,北京,2001-4000,本科,民营
1138,20%,1000-9999,北京传智播客教育科技有限公司,1-3,05-27,JavaEE讲师,广州,13000-25000,不限,民营
1139,20%,1000-9999,北京传智播客教育科技有限公司,3-5,05-27,JavaEE讲师,北京,25000-40000,大专,民营
1140,20%,500-999,杭州光云科技有限公司,3-5,05-27,Pythoh开发工程师,杭州,10001-15000,不限,民营
1141,20%,10000,郑州讯奥信息技术有限公司,3-5,05-27,搜索引擎开发工程师助理,郑州,3500-5000,大专,上市公司
1142,20%,20-99,南京科进实业有限公司,1-3,05-27,SEO竞价推广主管,南京,4001-6000,大专,民营
1143,20%,20-99,南京科进实业有限公司,1-3,05-27,电子商务与网络推广,南京,4001-6000,本科,民营
1144,20%,20-99,深圳市耐飞科技有限公司,3-5,05-27,后台开发,深圳,15000-20000,大专,民营
1145,20%,100-499,广州市原象广告有限公司,1-3,05-27,高级数据分析师,广州,7000-12000,本科,民营
1146,20%,20-99,雅丹鹰目(北京)信息技术有限公司,1-3,05-27,渠道销售,北京,8001-10000,大专,国企
1147,50%,1000-9999,上海彰荣房地产投资顾问有限公司,1-3,05-27,中级数据仓库开发工程师,上海,10001-15000,本科,民营
1148,20%,100-499,北京优才创智科技有限公司成都分公司,,05-27,JC实习工程师,成都,4000-8000,大专,民营
1149,20%,100-499,深圳前海九慧金服科技有限公司,1-3,05-27,大数据开发工程师,深圳,10001-15000,本科,民营
1150,20%,1000-9999,北京中科大洋科技发展股份有限公司,1-3,05-27,Java研发工程师,北京,10001-15000,本科,股份制企业
1151,20%,1000-9999,北京中科大洋科技发展股份有限公司,1-3,05-27,java研发工程师,北京,8000-15000,本科,股份制企业
1152,20%,1000-9999,北京鼎力创世科技有限公司,1-3,05-27,PHP开发-北京-00067,北京,10001-15000,不限,民营
1153,20%,100-499,成都数联铭品科技有限公司,1-3,05-27,数据工程师,贵阳,5000-10000,本科,民营
1154,20%,100-499,广东高航知识产权运营有限公司,1-3,05-27,SEO工程师（储备主管方向）,广州,6001-8000,大专,民营
1155,20%,1000-9999,搜狗公司,3-5,05-27,个性化阅读-PHP高级开发工程师-北京-01959,北京,15000-30000,本科,股份制企业
1156,20%,100-499,北京中科联通科技有限责任公司,3-5,05-27,项目经理（IT）,西安,10001-15000,本科,民营
1157,20%,100-499,广州市炫境数字科技有限公司,3-5,05-27,网站优化、阿里巴巴运营,广州,4001-6000,不限,民营
1158,75%,100-499,哈尔滨隆之道科技有限公司,3-5,05-27,网络工程师,哈尔滨,2000-4000,大专,民营
1160,74%,100-499,哈尔滨隆之道科技有限公司,,05-27,高级网络工程师,哈尔滨,5000-10000,不限,民营
1161,20%,1000-9999,搜狗公司,,05-27,网页搜索-数据挖掘研究员-北京-00033,北京,15001-20000,本科,股份制企业
1162,100%,100-499,广州市古哩古哩电子商务有限公司,,05-27,数据工程师-助理,广州,6001-8000,大专,其它
1163,100%,100-499,广州市古哩古哩电子商务有限公司,,05-27,数据采集师,广州,8001-10000,不限,其它
1164,95%,20,上海众开信息科技有限公司,5-10,05-27,BI工程师，大数据JAVA工程师，大数据JAVA架构师,上海,10001-15000,本科,民营
1165,61%,100-499,北京中科联通科技有限责任公司,5-10,05-27,Java高级软件开发工程师,西安,8000-13000,本科,民营
1166,20%,100-499,沈阳曙光医院,5-10,05-27,程序,沈阳,2001-4000,大专,其它
1167,20%,20-99,福建新诺美环境科技有限公司,1-3,05-27,网络营销副总,福州,6001-8000,大专,合资
1168,20%,100-499,智慧芽信息科技(苏州)有限公司上海分公司,1-3,05-27,技术经理,上海,25000-40000,不限,外商独资
1169,20%,100-499,大连同方软银科技股份有限公司,1-3,05-27,java开发工程师（小微金融研发中心）,大连,4000-7000,本科,股份制企业
1170,20%,10000,浪潮集团有限公司 ,1-3,05-27,Java开发工程师,贵阳,4001-6000,不限,国企
1171,20%,100-499,鸽姆微媒体系统科技(上海)有限公司,3-5,05-27,SEO专员/搜索引擎优化/网站优化/网站优化,上海,10001-15000,大专,民营
1172,20%,10000,温思顿国际英语（长沙运营中心）,3-5,05-27,网站SEO专员,长沙,4001-6000,大专,合资
1173,20%,10000,京东方科技集团,3-5,05-27,系统开发工程师 S17Y100910301,北京,10001-15000,本科,上市公司
1174,20%,100-499,中国电信股份有限公司云计算分公司,3-5,05-27,大数据研发工程师,北京,15000-25000,本科,国企
1175,20%,100-499,南京思美软件系统有限公司,3-5,05-27,大数据产品开发工程师(北京),北京,20001-30000,大专,民营
1176,20%,1000-9999,大公国际信用评级集团有限公司,1-3,05-27,数据采集工程师,北京,10001-15000,本科,民营
1177,20%,100-499,深圳前瞻资讯股份有限公司,1-3,05-27,.net (C#) 高级软件工程师 (数据蜘蛛方向),深圳,10000-15000,大专,民营
1178,20%,20-99,北京大德宽广科技有限公司,1-3,05-27,大数据产品开发工程师,北京,15001-20000,本科,民营
1179,20%,100-499,北京小度互娱科技有限公司,3-5,05-27,百度视频--数据研发工程师,北京,18000-30000,本科,民营
1180,20%,1000-9999,江苏新大陆科技股份有限公司,1-3,05-27,配置管理技术员,南京,6001-8000,大专,民营
1181,20%,10000,阿里巴巴集团,1-3,05-27,安全部-机器行为对抗专家,杭州,面议,,合资
1182,20%,1000-9999,浙江华媒控股股份有限公司,1-3,05-27,大数据工程师,杭州,8001-10000,不限,上市公司
1183,20%,100-499,厦门市好景科技有限公司,3-5,05-27,中级java工程师,厦门,7000-10000,大专,股份制企业
1184,20%,1000-9999,武汉佰钧成技术有限责任公司 ,3-5,05-27,全栈工程师,北京,15000-25000,大专,民营
1185,20%,20-99,南京擎盾信息科技有限公司,1-3,05-27,QA及测试工程师,南京,8001-10000,本科,民营
1186,20%,20-99,南京擎盾信息科技有限公司,1-3,05-27,JAVA开发工程师-杭州,杭州,10001-15000,不限,民营
1187,20%,100-499,江苏省未来网络创新研究院,1-3,05-27,大数据工程师,南京,6001-8000,本科,事业单位
1188,20%,100-499,北京中创信测科技股份有限公司,3-5,05-27,自然语言处理工程师(NLP),北京,15000-20000,本科,民营
1189,20%,20-99,黑龙江中金云科技股份有限公司,3-5,05-27,AI/数据挖掘工程师,哈尔滨,8001-10000,不限,股份制企业
1190,20%,10000,阿里巴巴集团,3-5,05-27,业务平台-翻译技术-数据挖掘专家,杭州,面议,,合资
1191,50%,100-499,广州市古哩古哩电子商务有限公司,3-5,05-27,网络数据采集开发员,广州,20001-30000,本科,其它
1192,20%,20-99,南京擎盾信息科技有限公司,1-3,05-27,Python开发工程师,南京,10001-15000,本科,民营
1193,20%,20-99,上海飞观信息科技有限公司,1-3,05-27,Python工程师-数据分析(应届生),沈阳,2001-4000,本科,民营
1194,20%,100-499,中科倍力信息技术(北京)有限公司,1-3,05-27,JAVA工程师 互联网金融,北京,7000-10000,本科,股份制企业
1195,20%,100-499,上海子耕投资咨询有限公司,3-5,05-27,Java资深开发工程师,上海,15000-30000,本科,其它
1196,94%,20-99,江西广而易科技有限公司,3-5,05-27,JAVA高级研发工程师,南昌,10001-15000,本科,民营
1197,20%,500-999,福建亿榕信息技术有限公司,1-3,05-27,python研发工程师,福州,5000-10000,本科,国企
1198,20%,1000-9999,北京外企德科人力资源服务上海有限公司,1-3,05-27,资讯信息维护岗/网站运营-事业单位-投资咨询,上海,8001-10000,本科,合资
1199,20%,500-999,北京恒泰博车拍卖有限公司,3-5,05-27,JAVA 高级工程师,上海,10001-15000,本科,民营
1200,20%,500-999,杭州安恒信息技术有限公司,3-5,05-27,Java（数据大脑事业部）,杭州,15000-25000,本科,民营
1201,20%,500-999,杭州安恒信息技术有限公司,3-5,05-27,C++（中高级）,杭州,15000-25000,本科,民营
1202,20%,100-499,广州市亨远投资咨询有限公司,1-3,05-27,金融/经济研究员,广州,8001-10000,大专,民营
1203,20%,500-999,北京诺禾致源科技股份有限公司,1-3,05-27,知识工程师,北京,10001-15000,硕士,民营
1204,20%,10000,杭州海康威视数字技术股份有限公司 ,1-3,05-27,YF-测试开发工程师(pyhton/scrapy/协议)-01,杭州,9000-16000,本科,股份制企业
1205,20%,100-499,上海赢他网络科技有限公司,1-3,05-27,Java开发工程师,上海,10001-15000,不限,民营
1206,20%,20-99,深圳苏琪科技有限公司,1-3,05-27,SEO网络推广,深圳,4001-6000,不限,民营
1207,94%,1000-9999,湖南新环境房地产经纪连锁有限公司三分公司,1-3,05-27,诚聘初、中、高级Java软件工程师（税后高薪+项目提成）,长沙,8000-12000,大专,民营
1208,20%,20-99,福建三立科技有限公司,1-3,05-27,文字编辑/组稿/主编,福州,4001-6000,不限,民营
1209,20%,20-99,福建三立科技有限公司,1-3,05-27,苹果手机科技新媒微信编辑,福州,6001-8000,不限,民营
1210,20%,100-499,酷骑(北京)科技有限公司,1-3,05-27,数据分析师,天津,3000-6000,大专,民营
1211,73%,100-499,上海棕榈电脑系统有限公司,1-3,05-27,大数据开发工程师,上海,15001-20000,本科,合资
1212,20%,100-499,广州贝勤网络科技有限公司,1-3,05-27,SEO,广州,15001-20000,本科,民营
1213,20%,500-999,中国科学院自动化研究所,1-3,05-27,JAVA开发工程师,北京,8001-10000,本科,事业单位
1214,20%,500-999,长安通信科技有限责任公司,1-3,05-27,python高级工程师--第四事业部,北京,15001-20000,不限,国企
1215,20%,100-499,清华大学五道口金融学院,1-3,05-27,全球家族企业研究中心—研究专员,北京,6001-8000,硕士,事业单位
1216,20%,10000,天道计然(北京)网络技术有限公司,1-3,05-27,高级Java工程师[风控方向],北京,20000-25000,不限,股份制企业
1217,20%,1000-9999,万达信息股份有限公司,1-3,05-27,高级数据处理工程师,上海,10000-20000,本科,其它
1218,20%,1000-9999,科大讯飞股份有限公司,1-3,05-27,大数据开发工程师-讯飞数码,合肥,8000-15000,不限,股份制企业
1219,20%,10000,天道计然(北京)网络技术有限公司,1-3,05-27,高级Java工程师[风控方向],上海,20000-25000,不限,股份制企业
1221,20%,20-99,钱帮(北京)金融信息服务有限公司,,05-27,数据采集工程师,北京,10001-15000,不限,民营
1222,20%,20-99,迪尔码国际营销服务(北京)有限公司,3-5,05-27,Java工程师,北京,10001-15000,本科,民营
1223,20%,20,搜狐媒体 ,1-3,05-27,搜狐媒体-产品技术部-Java后台开发工程师,北京,18000-30000,本科,国企
1224,20%,100-499,合肥星空投资管理有限公司,1-3,05-27,Python高级工程师,合肥,10001-15000,不限,民营
1225,20%,20-99,常州积奇网络科技有限公司,5-10,05-27,资深互联网开发工程师,常州,15001-20000,本科,民营
1226,20%,1000-9999,湖南新环境房地产经纪连锁有限公司,1-3,05-27,总部直招Java+高平台+高发展,长沙,8001-10000,本科,民营
1227,20%,100-499,北京中科联通科技有限责任公司,1-3,05-27,Java高级开发工程师,西安,10001-15000,本科,民营
1228,20%,100-499,北京中科联通科技有限责任公司,1-3,05-27,JAVA中级开发工程师,西安,8000-12000,本科,民营
1229,20%,20-99,江苏骏环昇旺科技产业股份有限公司,1-3,05-27,大数据开发工程师,南京,8001-10000,不限,民营
1230,20%,500-999,中投在线股份有限公司,1-3,05-27,资深SEO,上海,6000-12000,不限,民营
1231,20%,100-499,北京中和东方资产管理有限公司,1-3,05-27,数据平台部经理,北京,15000-30000,本科,民营
1232,20%,1000-9999,马上消费金融股份有限公司,1-3,05-27,Python工程师 (数据平台）,成都,10000-20000,本科,股份制企业
1233,20%,100-499,北京金惠新悦科技有限公司,5-10,05-27,高级产品经理,北京,15000-20000,本科,民营
1234,20%,20-99,杭州哈客网络科技有限公司,1-3,05-27,Python 高级工程师,杭州,10001-15000,不限,民营
1235,20%,20-99,福建淘汽互联科技有限公司,3-5,05-27,数据挖掘工程师,福州,15000-25000,本科,民营
1236,20%,100-499,天津市英迅达信息技术有限公司,1-3,05-27,电商数据分析专员,天津,3500-5000,本科,股份制企业
1237,20%,20-99,北京优易惠技术有限公司,3-5,05-27,数据挖掘工程师,北京,10000-15000,不限,民营
1238,20%,1000-9999,中信银行股份有限公司信用卡中心 ,3-5,05-27,IT系统开发岗（大数据、可视化方向）(002724),深圳,面议,,国企
1239,20%,20-99,广州极天信息技术股份有限公司,3-5,05-27,JAVA工程师（应届毕业生）,广州,5000-8000,本科,股份制企业
1240,20%,1000-9999,厦门市美亚柏科信息股份有限公司,3-5,05-27,java web开发工程师,福州,8000-15000,本科,上市公司
1241,20%,20-99,成都壹千零壹夜网络科技有限公司,5-10,05-27,数据架构师,成都,20000-30000,大专,民营
1242,20%,20-99,沈阳黑猫网络科技有限公司,,05-27,SEO站群黑帽人员,沈阳,6001-8000,大专,民营
1243,20%,20-99,沈阳黑猫网络科技有限公司,,05-27,站群SEO,沈阳,4500-6000,大专,民营
1244,20%,20-99,江苏优企天下科技有限公司,3-5,05-27,线上平台运营经理,无锡,6001-8000,不限,民营
1245,20%,100-499,长春同康大药房连锁股份有限公司,3-5,05-27,网络竞价,长春,4001-6000,不限,股份制企业
1246,20%,10000,中移在线服务有限公司,3-5,05-27,产品开发（侧重搜索算法）,郑州,面议,,国企
1247,20%,10000,中移在线服务有限公司,3-5,05-27,产品开发（侧重搜索算法）,北京,面议,,国企
1248,20%,100-499,大连旭日红尾职业技能培训学校,3-5,05-27,搜索引擎优化工程师seo,大连,8001-10000,本科,民营
1249,20%,20-99,北京优仕美成管理咨询有限公司,5-10,05-27,数据开发工程师,北京,20001-30000,本科,民营
1250,20%,20-99,杭州喜大科技有限公司,3-5,05-27,java开发工程师,杭州,15001-20000,大专,民营
1251,20%,20-99,杭州喜大科技有限公司,3-5,05-27,Python工程师,杭州,8000-15000,大专,民营
1252,20%,10000,美团点评 ,3-5,05-27,【美团平台】java研发工程师,北京,面议,,合资
1253,100%,20,青岛李沧区中蓝社会工作服务中心,3-5,05-27,网站技术经理,青岛,6001-8000,大专,民营
1254,20%,20,青岛李沧区中蓝社会工作服务中心,3-5,05-27,网站技术经理,青岛,6001-8000,大专,民营
1255,20%,1000-9999,上海晖硕信息科技有限公司,3-5,05-27,Java工程师(it girl),上海,15001-20000,本科,民营
1256,20%,100-499,航天神舟智慧系统技术有限公司,3-5,05-27,软件开发工程师,郑州,8001-10000,本科,国企
1257,20%,20-99,成都拓能特人力资源管理有限公司,3-5,05-27,中级/高级java工程师,北京,20001-30000,本科,民营
1258,20%,500-999,联合信用管理有限公司湖北分公司,3-5,05-27,数据工程师,武汉,8000-16000,大专,民营
1259,20%,20-99,成都领诚科技有限公司,1-3,05-27,数据采集,成都,5000-8000,本科,民营
1260,20%,20-99,大地风景(武汉)信息技术有限公司,1-3,05-27,数据分析师,武汉,4000-8000,不限,民营
1261,20%,20-99,北京金影科技有限公司,3-5,05-27,Java研发工程师,北京,15000-25000,本科,股份制企业
1262,20%,20-99,湖南承皓网络通信科技有限公司,1-3,05-27,急招 SEO/网站运营,长沙,4001-6000,不限,民营
1263,100%,20-99,安徽洋品行电子商务有限公司,3-5,06-10,Python爬虫工程师,上海,8001-10000,本科,民营
1264,20%,20-99,安徽洋品行电子商务有限公司,3-5,06-10,Python爬虫工程师,合肥,8001-10000,本科,民营
1265,20%,100-499,首页大数据科技股份有限公司,3-5,06-09,工程师,北京,10001-15000,本科,股份制企业
1266,20%,20-99,云鸽在线(北京)信息技术有限公司,3-5,06-09,应届 python ,北京,10001-15000,硕士,民营
1267,66%,20-99,北京企名片科技有限公司,3-5,06-09,python爬虫工程师,北京,10001-15000,本科,民营
1268,20%,20-99,脉讯在线北京信息技术有限公司烟台分公司,3-5,06-05,工程师实习生,烟台,4001-6000,不限,其它
1269,20%,100-499,成都优易数据有限公司,5-10,06-05,高级爬虫架构师,成都,20000-40000,大专,国企
1270,20%,100-499,成都优易数据有限公司,3-5,06-05,高级爬虫工程师,成都,10001-15000,本科,国企
1271,20%,100-499,南京甄视智能科技有限公司,1-3,06-02,工程师,天津,10000-20000,本科,民营
1272,20%,20-99,科盛数聚(北京)科技有限公司,1-3,05-27,Python爬虫工程师,北京,10001-15000,本科,股份制企业
1273,20%,100-499,武汉魔景园电子商务有限公司,1-3,05-27,工程师,武汉,15001-20000,不限,民营
1274,20%,100-499,武汉魔景园电子商务有限公司,1-3,05-27,工程师,武汉,15001-20000,不限,民营
1275,20%,20-99,北京博派通达科技有限公司,1-3,05-27,Python 高级工程师（模拟请求、爬虫方向）,北京,10001-15000,大专,民营
1276,20%,20-99,北京博派通达科技有限公司,1-3,05-27,Python 高级工程师（模拟请求、爬虫方向）,北京,10001-15000,大专,民营
1277,20%,100-499,成都钟霞鞋业有限公司,,05-27,外贸计算机程序员网络爬虫关键词SEO（欢迎优秀应届生投递）,成都,2001-4000,大专,民营
1278,78%,1000-9999,广联达科技股份有限公司,3-5,05-27,工程师-工程信息(004089),北京,20000-30000,本科,民营
1279,20%,100-499,北京盛典云通广告有限公司,3-5,05-27,python开发工程师（爬虫方向）,北京,20001-30000,本科,民营
1280,52%,10000,武汉龙才企业管理咨询有限公司,3-5,05-27,Java（爬虫）开发工程师（可助理）,武汉,4001-6000,大专,上市公司
1282,20%,1000-9999,湖南新环境房地产经纪连锁有限公司,,05-27,新环境中国总部直聘初中高级java,长沙,8001-10000,本科,民营
1283,20%,500-999,北京国双科技有限公司 ,1-3,05-27,开发工程师（Python）,北京,10000-15000,本科,上市公司
1284,20%,100-499,合肥星空投资管理有限公司,1-3,05-27,数据抓取工程师/爬虫python（7K-10K）,合肥,8001-10000,不限,民营
1285,20%,100-499,华兴泛亚投资顾问(北京)有限公司,1-3,05-27,华兴资本爬虫工程师/经理,北京,1000-2000,本科,外商独资
1286,20%,1000-9999,齐鲁晚报,3-5,06-10,java中级研发工程师,济南,6001-8000,本科,事业单位
1287,20%,20-99,云鸽在线(北京)信息技术有限公司,3-5,06-09,python工程师,北京,10001-15000,不限,民营
1288,77%,1000-9999,江西盈通控股集团有限公司,1-3,06-09,.net软件工程师,南昌,6001-8000,大专,民营
1289,20%,20-99,湖南承皓网络通信科技有限公司,1-3,06-09,SEO,长沙,3000-5000,不限,民营
1290,20%,20,上海熙邻网络技术有限公司,1-3,06-07,电话客服,上海,6001-8000,大专,民营
1291,20%,20,上海熙邻网络技术有限公司,1-3,06-07,数据采集员,上海,6001-8000,大专,民营
1292,20%,20-99,深圳云和数据信息技术有限公司,,06-07,网站设计/程序员,深圳,3000-5000,大专,民营
1293,20%,20-99,深圳云和数据信息技术有限公司,1-3,06-07,美工设计/ 网页设计,深圳,5000-9000,大专,民营
1294,20%,20,广州美范信息科技有限公司,1-3,06-07,大数据工程师,广州,7000-14000,大专,民营
1295,20%,20,厦门双飞翼软件科技有限公司,1-3,06-07,PHP开发工程师,厦门,6000-10000,大专,民营
1296,100%,100-499,广州市古哩古哩电子商务有限公司,3-5,06-06,Python开发工程师,广州,10001-15000,大专,其它
1297,100%,100-499,广州市古哩古哩电子商务有限公司,3-5,06-06,Python开发工程师,广州,10001-15000,大专,其它
1298,80%,100-499,广州市古哩古哩电子商务有限公司,1-3,06-06,Python开发工程师,广州,20001-30000,大专,其它
1299,20%,100-499,广州市古哩古哩电子商务有限公司,3-5,06-06,Python开发工程师,广州,20001-30000,本科,其它
1300,20%,20,上海熙邻网络技术有限公司,3-5,06-06,内业采集,上海,6001-8000,大专,民营
1301,20%,20-99,深圳云和数据信息技术有限公司,1-3,06-05,美工设计/ 网页设计,深圳,5000-9000,大专,民营
1302,20%,20-99,深圳云和数据信息技术有限公司,1-3,06-05,美工设计/ 网页设计,深圳,5000-9000,大专,民营
1303,20%,20-99,湖南承皓网络通信科技有限公司,1-3,06-05,SEO/网络推广,长沙,3000-5000,不限,民营
1304,100%,20-99,石家庄智动能网络科技有限公司,1-3,06-04,seo优化,石家庄,4001-6000,不限,民营
1305,100%,20-99,石家庄智动能网络科技有限公司,1-3,06-02,seo优化,石家庄,4001-6000,不限,民营
1306,57%,20-99,成都时代尺度文化传播有限公司,1-3,06-02,网络舆情工程师,成都,8001-10000,不限,民营
1307,100%,100-499,北京金衡和科技有限公司,1-3,06-01,数据采集工程师,北京,20001-30000,不限,民营
1308,99%,20-99,北京金影科技有限公司,5-10,06-01,Java高级工程师,北京,20000-35000,本科,股份制企业
1309,50%,20-99,石家庄智动能网络科技有限公司,1-3,06-01,seo优化,石家庄,4001-6000,不限,民营
1310,20%,20-99,深圳云和数据信息技术有限公司,,06-01,网站设计/程序员,深圳,3000-5000,大专,民营
1311,20%,20-99,深圳云和数据信息技术有限公司,1-3,06-01,美工设计/ 网页设计,深圳,5000-9000,大专,民营
1312,63%,100-499,河南智游臻龙教育科技有限公司,1-3,06-01,Python开发工程师,郑州,10001-15000,大专,民营
1313,20%,20-99,苏州星科元信息科技有限公司,1-3,05-27,数据管理  双休  五险一金,苏州,6001-8000,不限,民营
1314,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,网站设计师,昆山,4001-6000,大专,民营
1315,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,网页设计师,昆山,4001-6000,大专,民营
1316,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,微信小程序电话专员,昆山,4001-6000,不限,民营
1317,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,微信小程序电话营销,昆山,4001-6000,不限,民营
1318,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,微信小程序电话业务,昆山,4001-6000,不限,民营
1319,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,微信小程序电话销售,昆山,4001-6000,中专,民营
1320,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,微信小程序电话客服,昆山,4001-6000,不限,民营
1321,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,微信小程序商务助理,昆山,4001-6000,不限,民营
1322,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,微信小程序业务助理,昆山,4001-6000,不限,民营
1323,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,微信小程序销售助理,昆山,4001-6000,不限,民营
1324,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,微信小程序销售精英,昆山,8001-10000,大专,民营
1325,20%,20-99,"苏州,网络科技有限公司",1-3,05-27,微信小程序销售代表,昆山,8001-10000,大专,民营
1326,100%,20-99,"苏州,网络科技有限公司",1-3,05-27,微信小程序商务代表,昆山,8001-10000,大专,民营
1327,20%,20-99,深圳云和数据信息技术有限公司,1-3,05-27,网站设计/程序员,深圳,3000-5000,大专,民营
1328,20%,20-99,深圳云和数据信息技术有限公司,1-3,05-27,美工设计/ 网页设计,深圳,5000-9000,大专,民营
1329,100%,20-99,北京金影科技有限公司,3-5,05-27,Java后端工程师,北京,15000-25000,大专,股份制企业
1330,20%,20-99,深圳云和数据信息技术有限公司,1-3,05-27,美工设计主管/ 网页设计主管,深圳,5000-9000,大专,民营
1331,20%,20-99,数娱汇(北京)信息科技有限公司,,05-27,数据采集实习生,北京,4001-6000,本科,民营
1332,20%,100-499,北京敏特昭阳科技发展有限公司,1-3,05-27,Python开发工程师,北京,15001-20000,大专,民营
1333,100%,20-99,汉高达贸易(深圳)有限公司,1-3,05-27,网络推广 网络运营专员 网站优化,深圳,6001-8000,不限,民营
1334,20%,20-99,深圳云和数据信息技术有限公司,,05-27,网站设计/程序员,深圳,3000-5000,大专,民营
1335,20%,1000-9999,中国信义集团 ,3-5,05-27,.net高级开发工程师,上海,8001-10000,大专,外商独资
1336,20%,100-499,北京中润普达信息技术有限公司,1-3,05-27,数据采集工程师,北京,6001-8000,大专,民营
1337,20%,1000-9999,中国信义集团 ,3-5,05-27,.net高级开发工程师,上海,8001-10000,大专,外商独资
1338,20%,20-99,南昌市晶通照明工程有限公司,1-3,05-27,阿里巴巴国际站后台操作员,南昌,2001-4000,不限,民营
1339,20%,20-99,北京最印象科技有限公司,3-5,05-27,数据抓取工程师,北京,10000-20000,本科,民营
1340,20%,20-99,北京华星成汇文化发展有限公司,1-3,05-27,JAVA开发工程师,北京,15001-20000,本科,民营
1341,20%,1000-9999,中国信义集团 ,3-5,05-27,.net高级开发工程师,上海,8001-10000,大专,外商独资
1343,20%,20-99,南宁市迈越软件有限责任公司,3-5,05-27,大数据分析工程师（JAVA）,南宁,20001-30000,本科,民营
1344,76%,100-499,杭州捷配信息科技有限公司,1-3,05-27,.NET高级工程师2年以上经验，2千平五星级办公环境,杭州,10001-15000,不限,民营
1345,50%,20-99,石家庄智动能网络科技有限公司,1-3,05-27,seo优化,石家庄,4001-6000,不限,民营
1346,20%,20-99,深圳云和数据信息技术有限公司,1-3,05-27,美工设计主管/ 网页设计主管,深圳,6001-8000,大专,民营
1347,100%,20-99,石家庄智动能网络科技有限公司,1-3,05-27,seo优化,石家庄,4001-6000,不限,民营
1348,100%,100-499,广州市古哩古哩电子商务有限公司,1-3,05-27,数据采集师,广州,8001-10000,不限,其它
1349,20%,20-99,石家庄智动能网络科技有限公司,1-3,05-27,seo优化,石家庄,4001-6000,不限,民营
1350,86%,20-99,汉高达贸易(深圳)有限公司,1-3,05-27,网络推广营销,深圳,6001-8000,不限,民营
1351,20%,20-99,石家庄智动能网络科技有限公司,1-3,05-27,seo优化,石家庄,4001-6000,不限,民营
1352,20%,100-499,广州市亨远投资咨询有限公司,1-3,05-27,股票策略研究员,广州,8001-10000,大专,民营
1353,20%,100-499,北京互连众信科技有限公司,1-3,05-27,高级java开发工程师,北京,15001-20000,不限,民营
1354,20%,20-99,北京金影科技有限公司,3-5,05-27,Java后端工程师,北京,15000-25000,本科,股份制企业
1355,56%,100-499,上海乐岱网络信息科技有限公司,1-3,05-27,SEO工程师,上海,8001-10000,大专,合资
